sex,suicides_no,population,suicides_pop,gdp_per_capita ($),lvl_gdp,GDP_for_group,Boomers,G.I. Generation,Generation X,Generation Z,Millenials,Silent
1.0,21.0,312900.0,6.71,796.0,0.0,249068400.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,16.0,308000.0,5.19,796.0,0.0,245168000.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,14.0,289700.0,4.83,796.0,0.0,230601200.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,21800.0,4.59,796.0,0.0,17352800.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,9.0,274300.0,3.28,796.0,0.0,218342800.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,35600.0,2.81,796.0,0.0,28337600.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,6.0,278800.0,2.15,796.0,0.0,221924800.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,4.0,257200.0,1.56,796.0,0.0,204731200.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,137500.0,0.73,796.0,0.0,109450000.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,311000.0,0.0,796.0,0.0,247556000.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,144600.0,0.0,796.0,0.0,115101600.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,338200.0,0.0,796.0,0.0,269207200.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,36400.0,5.49,769.0,0.0,27991600.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,17.0,319200.0,5.33,769.0,0.0,245464800.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,22300.0,4.48,769.0,0.0,17148700.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,14.0,314100.0,4.46,769.0,0.0,241542900.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,4.0,140200.0,2.85,769.0,0.0,107813800.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,8.0,295600.0,2.71,769.0,0.0,227316400.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,147500.0,2.03,769.0,0.0,113427500.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,5.0,262400.0,1.91,769.0,0.0,201785600.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,279900.0,1.79,769.0,0.0,215243100.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,284500.0,1.41,769.0,0.0,218780500.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,317200.0,0.0,769.0,0.0,243926800.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,345000.0,0.0,769.0,0.0,265305000.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2.0,22500.0,8.89,833.0,0.0,18742500.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,18.0,283600.0,6.35,833.0,0.0,236238800.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,15.0,318400.0,4.71,833.0,0.0,265227200.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,6.0,142100.0,4.22,833.0,0.0,118369300.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,12.0,323500.0,3.71,833.0,0.0,269475500.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,7.0,288600.0,2.43,833.0,0.0,240403800.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,5.0,299900.0,1.67,833.0,0.0,249816700.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,266300.0,0.75,833.0,0.0,221827900.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,149600.0,0.67,833.0,0.0,124616800.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,321900.0,0.0,833.0,0.0,268142700.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,37000.0,0.0,833.0,0.0,30821000.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,349700.0,0.0,833.0,0.0,291300100.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,12.0,343800.0,3.49,251.0,0.0,86293800.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,263700.0,3.41,251.0,0.0,66188700.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,5.0,159500.0,3.13,251.0,0.0,40034500.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,7.0,245500.0,2.85,251.0,0.0,61620500.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,292400.0,2.39,251.0,0.0,73392400.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,4.0,267400.0,1.5,251.0,0.0,67117400.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,323100.0,0.62,251.0,0.0,81098100.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,164900.0,0.61,251.0,0.0,41389900.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,336700.0,0.0,251.0,0.0,84511700.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,38700.0,0.0,251.0,0.0,9713700.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,362900.0,0.0,251.0,0.0,91087900.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,23900.0,0.0,251.0,0.0,5998900.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,18.0,243300.0,7.4,437.0,0.0,106322100.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,7.0,165000.0,4.24,437.0,0.0,72105000.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,24200.0,4.13,437.0,0.0,10575400.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,9.0,230100.0,3.91,437.0,0.0,100553700.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,285300.0,3.51,437.0,0.0,124676100.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,10.0,350300.0,2.85,437.0,0.0,153081100.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,261800.0,2.67,437.0,0.0,114406600.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,331200.0,2.11,437.0,0.0,144734400.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,169500.0,1.18,437.0,0.0,74071500.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,340300.0,0.29,437.0,0.0,148711100.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,367000.0,0.27,437.0,0.0,160379000.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,39300.0,0.0,437.0,0.0,17174100.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2.0,24600.0,8.13,697.0,0.0,17146200.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,11.0,171400.0,6.42,697.0,0.0,119465800.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2.0,39900.0,5.01,697.0,0.0,27810300.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,6.0,231400.0,2.59,697.0,0.0,161285800.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,362800.0,2.48,697.0,0.0,252871600.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,242200.0,2.48,697.0,0.0,168813400.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,6.0,282600.0,2.12,697.0,0.0,196972200.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,4.0,261100.0,1.53,697.0,0.0,181986700.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,342500.0,0.58,697.0,0.0,238722500.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,174600.0,0.57,697.0,0.0,121696200.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,371800.0,0.27,697.0,0.0,259144600.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,344400.0,0.0,697.0,0.0,240046800.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,13.0,232900.0,5.58,835.0,0.0,194471500.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,9.0,178000.0,5.06,835.0,0.0,148630000.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2.0,40800.0,4.9,835.0,0.0,34068000.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,13.0,283500.0,4.59,835.0,0.0,236722500.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,11.0,241200.0,4.56,835.0,0.0,201402000.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,25100.0,3.98,835.0,0.0,20958500.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,14.0,375900.0,3.72,835.0,0.0,313876500.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,264000.0,2.65,835.0,0.0,220440000.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,8.0,356400.0,2.24,835.0,0.0,297594000.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,376500.0,1.59,835.0,0.0,314377500.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,2.0,180400.0,1.11,835.0,0.0,150634000.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2.0,348700.0,0.57,835.0,0.0,291164500.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,2.0,25400.0,7.87,1127.0,0.0,28625800.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,17.0,243600.0,6.98,1127.0,0.0,274537200.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,14.0,235300.0,5.95,1127.0,0.0,265183100.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,16.0,287700.0,5.56,1127.0,0.0,324237900.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,41200.0,4.85,1127.0,0.0,46432400.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,10.0,267900.0,3.73,1127.0,0.0,301923300.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,12.0,379600.0,3.16,1127.0,0.0,427809200.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,362000.0,2.49,1127.0,0.0,407974000.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,179900.0,1.67,1127.0,0.0,202747300.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,183100.0,0.55,1127.0,0.0,206353700.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2.0,380400.0,0.53,1127.0,0.0,428710800.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,354100.0,0.28,1127.0,0.0,399070700.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,36.0,236000.0,15.25,793.0,0.0,187148000.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,33.0,244400.0,13.5,793.0,0.0,193809200.0,0.0,0.0,1.0,0.0,0.0,0.0
